LS,TO,VBN,'',WP,UH,VBG,JJ,VBZ,--,VBP,NN,DT,PRP,:,WP$,NNPS,PRP$,WDT,(,),.,",",``,$,RB,RBR,RBS,VBD,IN,FW,RP,JJR,JJS,PDT,MD,VB,WRB,NNP,EX,NNS,SYM,CC,CD,POS,class
0,3,1,1,1,0,2,20,7,0,2,37,21,17,2,0,0,0,0,0,0,16,4,3,0,14,0,0,15,17,2,2,4,0,0,1,2,5,3,1,6,0,8,4,0,0
0,6,2,0,0,1,1,12,6,0,0,27,16,9,11,0,0,7,1,0,0,7,8,2,0,9,0,0,4,21,0,0,8,0,0,1,10,1,3,1,5,0,3,4,0,0
0,6,4,6,1,0,2,20,8,0,10,30,25,17,1,0,0,2,1,0,0,55,2,6,0,14,0,1,5,26,3,0,0,0,1,6,22,3,21,0,16,2,12,5,0,0
0,8,9,3,0,0,6,22,8,0,11,58,33,16,15,0,0,2,3,0,0,20,33,5,0,17,1,1,12,38,5,1,22,0,0,3,11,9,26,1,23,1,15,5,0,0
0,2,1,0,1,0,1,9,5,0,2,23,14,2,1,0,0,4,0,0,0,6,4,2,0,9,0,0,0,10,0,0,1,0,0,1,3,0,0,0,3,0,5,3,0,0
0,11,7,7,4,0,15,101,53,0,6,186,104,31,51,0,0,17,1,0,0,73,65,4,0,45,0,0,9,100,10,6,62,4,0,6,14,3,57,0,20,2,31,15,1,0
0,3,4,8,0,0,2,22,7,0,10,47,30,20,10,0,1,4,2,0,0,26,20,8,0,16,0,0,10,31,4,0,14,0,0,4,11,1,25,0,11,0,16,7,0,0
0,4,0,2,1,0,3,12,3,0,2,27,20,5,6,0,0,1,1,0,0,6,4,3,0,7,0,0,4,12,2,1,12,0,0,0,3,1,12,0,4,0,5,1,0,0
0,1,5,1,1,0,2,13,6,0,2,12,15,4,1,0,0,1,0,0,0,6,10,3,0,10,0,0,1,17,2,0,0,0,0,0,2,1,25,0,6,0,5,4,0,0
0,3,5,3,3,1,1,15,4,0,1,40,25,14,4,0,0,4,1,0,0,13,9,5,0,12,0,0,18,27,2,2,4,2,1,2,6,2,13,0,3,0,9,7,0,0
0,2,5,3,3,0,3,14,3,0,7,26,21,12,0,1,0,3,1,0,0,9,12,3,0,11,0,0,8,20,2,2,0,0,0,4,7,3,8,0,17,1,9,2,0,0
0,6,7,9,2,0,3,30,12,0,10,36,31,13,7,0,0,6,4,0,0,15,26,13,0,16,5,0,7,31,2,1,10,0,0,2,5,2,28,0,18,4,14,6,0,0
0,2,1,1,0,0,0,9,6,0,0,9,8,0,0,0,0,1,0,0,0,6,1,3,0,2,0,0,0,9,0,2,1,1,0,0,2,0,9,0,2,0,2,3,0,0
0,4,1,1,0,0,3,6,3,0,2,20,14,10,4,0,0,3,0,0,0,6,1,1,0,5,0,0,9,16,0,1,8,3,0,2,4,0,8,0,3,0,3,2,0,0
0,2,5,3,1,0,8,41,11,0,8,50,36,10,1,0,0,2,0,0,0,15,12,5,0,23,1,0,4,32,4,2,0,0,0,1,6,0,7,0,18,1,16,4,1,0
0,2,3,0,0,0,3,6,2,0,3,12,9,18,0,0,0,0,0,0,0,6,3,2,0,13,0,0,9,11,0,0,0,1,0,2,6,1,1,0,3,0,1,3,0,0
0,1,0,0,0,1,0,5,1,0,1,9,4,2,2,0,0,0,0,0,0,3,2,2,0,3,0,0,1,5,0,0,4,0,0,0,1,0,2,0,0,0,0,1,0,0
0,3,7,0,3,0,3,16,15,0,1,45,24,10,5,0,0,5,1,0,0,8,6,3,0,14,0,0,4,44,0,2,10,1,0,0,2,3,43,0,10,0,8,3,1,0
0,8,2,0,0,0,4,10,11,0,1,27,21,3,0,0,0,1,2,0,0,7,7,2,0,5,0,0,0,14,0,2,0,0,0,0,6,1,10,0,4,0,4,2,0,0
0,0,0,0,1,0,0,6,1,0,2,21,10,1,2,0,0,3,0,0,0,3,7,2,0,3,0,0,1,4,0,0,4,1,0,1,1,0,0,0,1,0,4,1,0,0
0,3,0,0,1,0,3,9,4,0,5,23,15,8,4,0,0,2,0,0,0,6,3,2,0,14,0,0,2,13,0,1,8,0,0,0,4,1,8,0,6,0,5,1,0,0
0,7,5,3,2,0,8,12,5,0,9,25,21,25,0,0,0,0,1,0,0,9,12,4,0,18,0,0,9,26,2,0,2,1,2,4,14,0,18,1,2,0,8,3,0,0
0,3,3,3,0,0,4,11,8,0,0,35,15,1,9,0,0,1,0,0,0,13,8,8,0,5,0,0,3,17,0,0,9,1,0,0,1,0,34,0,10,2,9,5,0,0
0,1,0,0,0,0,1,10,2,0,0,10,8,3,0,0,0,1,0,0,0,3,3,2,0,2,0,0,3,8,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
0,1,1,0,1,0,0,7,6,0,1,19,11,2,4,0,0,3,0,0,0,5,5,2,0,1,0,1,3,14,0,1,9,1,0,1,3,0,10,0,3,0,1,3,0,0
0,3,7,1,1,0,2,15,19,0,8,47,29,10,9,0,0,8,2,0,0,10,4,3,0,16,0,0,4,27,1,1,14,0,0,0,3,3,0,0,8,1,7,6,0,0
0,0,3,4,1,0,1,7,5,0,1,17,14,8,2,0,0,1,1,0,0,7,2,2,0,5,0,0,4,10,0,2,4,0,1,1,3,1,3,0,4,0,2,3,4,0
0,3,2,0,0,0,1,12,4,0,7,33,21,4,11,0,0,1,0,0,0,9,5,2,0,9,0,0,1,13,0,0,21,0,0,3,6,0,7,0,8,0,9,3,0,0
0,26,19,7,9,2,29,58,26,0,19,189,115,34,13,0,1,14,7,0,0,35,57,11,0,57,1,0,26,117,8,7,16,4,0,4,30,11,106,1,38,7,34,16,3,0
0,8,1,3,1,0,2,17,3,0,9,45,20,17,10,0,0,7,0,0,0,10,15,3,0,12,0,1,4,34,0,1,20,0,0,4,14,0,21,0,10,0,14,5,1,0
0,9,3,4,3,1,5,23,9,0,8,63,38,14,11,0,0,3,2,0,0,18,8,2,0,18,1,0,14,29,0,1,16,1,0,1,8,3,4,0,7,0,12,2,0,0
0,3,4,2,3,0,5,10,5,0,7,15,15,3,0,0,0,3,1,0,0,8,5,4,0,7,1,0,2,13,2,1,0,2,0,0,4,0,7,1,12,1,7,4,1,0
0,5,2,4,0,0,5,16,4,0,3,24,16,7,5,0,0,2,0,0,0,9,8,6,0,8,0,0,3,14,1,0,0,1,0,0,7,1,13,0,4,2,7,3,0,0
0,5,4,5,2,0,3,13,13,0,2,32,18,9,4,0,1,2,1,0,0,7,9,7,0,8,1,1,1,22,0,2,8,0,0,0,3,1,23,1,7,0,7,10,0,0
0,8,14,2,0,0,4,34,6,0,17,77,36,32,2,0,0,3,2,0,0,18,23,4,0,28,2,0,11,43,0,1,8,1,0,12,26,4,13,0,15,0,23,3,0,0
0,4,6,2,0,0,0,15,3,0,0,32,16,0,11,0,0,2,0,0,0,8,11,2,0,14,0,1,1,19,2,0,16,1,0,1,4,2,6,0,8,0,6,8,1,0
0,2,1,0,0,0,2,5,3,0,3,32,15,3,5,0,0,1,0,0,0,4,8,2,0,6,0,0,1,15,0,0,0,0,0,1,3,1,2,0,4,0,5,2,0,0
0,13,6,1,3,1,8,31,16,0,9,49,31,19,8,0,0,6,2,0,0,13,11,3,0,18,0,1,4,33,4,1,1,0,2,2,11,1,3,0,7,0,13,1,0,0
0,4,4,1,1,0,2,21,10,0,5,30,24,5,9,0,0,1,1,0,0,9,4,3,0,11,0,0,0,19,0,1,17,0,0,0,3,0,14,0,9,0,9,4,0,0
0,1,2,0,1,0,3,11,6,0,7,32,23,5,4,0,0,5,0,0,0,9,10,2,0,6,0,0,1,21,0,0,10,0,0,0,1,2,0,1,9,0,7,5,0,0
0,6,3,1,0,0,2,23,16,0,3,55,32,8,8,0,0,5,1,0,0,9,5,3,0,13,1,0,2,33,0,1,12,2,0,0,4,2,6,1,9,1,10,5,0,0
0,18,17,6,4,2,11,45,19,0,31,133,83,68,30,0,1,6,7,0,0,42,42,4,0,55,0,0,24,89,0,3,55,0,2,9,36,6,10,5,24,1,22,4,6,0
0,3,0,1,0,0,2,14,5,0,3,19,9,3,2,0,0,1,2,0,0,7,5,1,0,3,0,0,0,12,0,0,4,0,0,1,5,1,7,0,7,0,1,3,0,0
0,5,8,5,4,0,4,23,1,0,3,64,29,19,14,0,0,5,2,0,0,25,14,2,0,24,4,0,31,27,0,0,25,1,1,0,4,2,29,0,5,0,13,3,5,0
3,6,3,2,1,0,4,16,4,0,7,31,16,9,3,0,0,1,1,0,0,28,3,4,0,15,1,0,4,13,2,0,0,1,0,1,7,0,2,1,5,1,5,3,0,0
0,6,17,2,4,0,12,61,32,0,6,113,68,24,12,0,0,19,3,0,0,21,42,4,0,36,3,0,8,88,2,3,14,0,0,4,14,1,33,1,28,42,17,2,2,0
0,7,2,2,2,0,2,24,19,0,3,47,25,14,4,0,0,3,2,0,0,19,8,4,0,14,0,0,1,26,0,1,8,1,0,3,10,2,11,0,1,1,2,3,0,0
0,9,4,1,1,0,3,16,2,0,7,29,20,27,0,0,1,6,1,0,0,17,7,1,0,23,1,0,21,16,0,1,0,0,0,2,5,6,27,0,10,1,17,3,0,0
0,2,3,1,0,0,0,7,3,0,0,6,4,1,1,0,0,0,0,0,0,2,4,3,0,2,0,0,0,5,0,0,1,0,0,1,3,0,11,0,0,0,2,1,0,0
0,3,4,0,0,0,3,8,3,0,7,15,8,16,0,0,0,2,0,0,0,7,1,2,0,12,0,0,3,13,0,1,1,0,0,5,7,0,8,0,5,0,3,1,0,0
0,1,3,3,1,0,5,9,4,0,3,35,21,11,4,0,0,1,1,0,0,8,10,5,0,7,1,0,5,20,0,1,10,1,0,6,7,1,7,1,5,1,1,4,0,0
0,4,1,1,0,0,0,8,0,0,4,13,10,6,0,0,0,0,0,0,0,6,2,3,0,3,0,0,7,3,0,1,0,1,0,1,2,0,1,0,3,0,4,1,0,0
0,7,8,2,1,0,1,15,12,0,2,37,34,8,5,0,0,0,2,0,0,16,14,6,0,16,0,1,5,23,0,0,0,5,0,6,15,2,26,0,13,1,7,5,3,0
0,7,5,4,0,0,5,42,13,0,3,48,36,21,5,0,0,5,1,0,0,17,28,6,0,39,1,0,12,43,7,0,2,1,1,7,12,0,30,0,15,3,14,3,0,0
0,4,2,1,0,0,5,10,2,0,4,31,22,11,1,0,0,3,0,0,0,24,3,5,0,9,1,0,10,12,1,0,0,0,1,4,9,2,3,0,4,1,3,7,0,0
1,6,2,1,0,0,1,18,5,0,5,19,15,7,3,0,0,2,2,0,0,9,3,3,0,10,0,0,1,12,1,0,0,0,0,1,9,0,0,0,6,0,5,5,0,0
0,1,1,1,0,0,4,8,5,0,2,15,9,3,1,0,0,1,0,0,0,10,13,1,0,4,0,1,0,12,2,0,1,0,0,0,1,0,15,0,6,0,3,4,0,0
0,21,22,7,6,0,11,98,29,0,34,148,116,27,22,0,7,11,9,0,0,47,39,7,0,65,2,1,10,115,9,4,27,4,0,6,22,5,47,0,41,0,22,13,7,0
0,3,0,1,0,0,1,7,10,0,4,31,24,11,0,0,0,1,0,0,0,12,16,1,0,12,0,0,3,9,0,0,0,0,0,2,6,0,0,1,2,0,5,2,0,0
0,8,6,0,3,0,4,11,16,0,3,49,30,16,4,0,0,5,4,0,0,15,20,2,0,24,0,0,5,34,3,0,12,0,1,0,11,3,9,0,12,0,8,3,0,0
0,2,2,0,1,0,0,6,4,0,3,22,11,6,7,0,0,1,0,0,0,11,5,2,0,6,0,0,3,11,0,0,12,0,0,1,5,2,12,0,0,0,5,2,0,0
0,7,8,0,2,0,4,26,10,0,13,92,57,31,14,0,1,5,2,0,0,43,26,4,0,21,0,0,32,51,1,6,25,0,0,5,15,8,24,3,20,7,17,13,0,0
0,5,1,0,2,0,4,24,9,0,5,61,38,11,6,0,0,9,3,0,0,21,19,4,0,15,1,0,7,42,5,0,10,1,1,4,13,2,31,0,11,2,15,5,0,0
0,3,3,5,2,0,6,23,11,0,5,43,31,13,4,0,0,2,3,0,0,15,17,7,0,16,0,0,4,21,7,1,8,0,0,1,9,1,6,0,9,1,15,3,0,0
0,0,2,0,1,0,2,8,4,0,3,10,13,2,0,0,0,0,1,0,0,5,7,2,0,9,0,0,0,9,0,1,1,1,0,1,3,0,5,0,6,0,3,4,0,0
0,9,4,4,0,0,3,18,8,0,1,35,19,7,5,0,0,1,0,0,0,11,16,6,0,14,1,0,4,19,4,0,10,1,0,1,10,0,29,1,6,0,5,7,1,0
0,9,0,0,4,0,3,30,8,0,5,80,34,14,22,0,0,12,5,0,0,27,15,2,0,12,0,1,23,25,0,0,44,1,1,2,9,4,27,1,15,0,6,3,0,0
0,0,4,0,4,0,2,12,5,0,4,19,9,10,4,0,0,1,1,0,0,4,9,2,0,13,0,0,2,10,0,1,4,1,0,0,2,0,1,1,3,0,5,2,0,0
0,1,4,3,1,0,3,9,2,0,0,19,22,1,2,0,0,0,1,0,0,7,9,5,0,8,0,0,9,18,0,0,0,1,0,1,3,1,50,0,2,0,5,5,1,0
0,12,7,0,0,0,10,33,6,0,3,55,32,13,8,0,0,8,1,0,0,11,17,2,0,18,0,1,15,44,0,1,16,1,0,1,9,0,20,2,10,0,11,4,0,0
0,3,4,1,1,0,2,14,13,0,4,37,23,9,9,0,1,3,0,0,0,15,11,3,0,13,0,0,2,26,1,0,16,0,0,1,2,0,19,0,6,0,5,2,0,0
0,16,14,7,1,0,5,51,29,0,7,84,50,15,4,0,0,13,5,0,0,24,24,7,0,41,1,0,4,54,2,9,10,0,1,2,18,2,57,0,26,0,25,8,0,0
0,1,0,0,0,0,2,2,2,0,1,22,5,1,3,0,0,0,0,0,0,1,2,2,0,1,0,0,0,5,0,0,3,0,0,0,0,0,3,0,1,3,0,1,0,0
0,3,0,0,0,0,6,9,3,0,7,20,15,14,5,0,0,2,0,0,0,7,4,2,0,14,0,1,6,15,0,0,5,1,2,0,4,1,3,0,6,0,6,5,0,0
0,6,6,0,6,0,3,33,17,0,5,48,36,16,1,0,0,8,0,0,0,18,31,2,0,24,1,0,4,34,0,0,0,0,1,0,4,2,15,0,8,0,14,1,0,0
0,15,12,3,0,1,12,50,22,0,18,97,67,27,8,0,0,14,1,0,0,22,23,2,0,33,0,0,14,70,0,2,16,5,2,4,19,2,25,5,28,0,19,4,1,0
0,7,2,0,0,0,1,19,8,0,11,37,27,19,4,0,0,2,2,0,0,12,5,2,0,10,0,0,5,23,0,1,11,2,0,2,12,2,1,0,11,0,13,1,0,0
3,12,4,9,5,1,16,37,7,0,21,93,47,22,16,0,0,0,1,0,0,38,13,2,0,30,1,0,8,46,3,2,29,0,0,7,27,6,3,0,27,0,17,7,3,0
0,3,2,0,2,0,3,12,7,0,4,24,18,18,4,0,0,4,0,0,0,12,6,2,0,7,0,0,6,16,2,0,8,1,0,4,8,2,15,1,5,0,6,2,0,0
0,3,1,1,0,0,1,16,4,0,3,22,12,2,1,0,0,4,1,0,0,4,11,3,0,6,0,1,0,10,0,0,1,0,0,4,6,2,7,0,8,3,11,4,0,0
4,1,4,2,1,0,2,11,7,0,4,28,24,4,1,0,0,0,0,0,0,16,9,2,0,12,0,0,4,19,3,0,1,0,0,2,6,1,3,0,7,0,6,2,0,0
0,7,5,4,0,0,4,11,3,0,9,37,21,6,5,0,0,0,2,0,0,13,10,4,0,10,0,0,4,19,2,0,8,0,1,0,7,3,11,1,14,1,10,3,0,0
0,3,0,1,2,0,2,9,7,0,5,28,10,14,8,0,0,1,0,0,0,10,8,3,0,18,1,0,5,13,1,1,16,0,0,0,6,1,6,0,2,0,5,2,0,0
0,6,2,0,1,0,2,8,5,0,2,31,24,7,9,0,0,0,0,0,0,8,9,2,0,8,0,0,4,17,0,2,8,1,0,1,6,1,2,0,5,0,8,1,0,0
0,5,5,5,1,0,6,16,8,0,6,43,21,6,6,0,0,1,1,0,0,10,10,2,0,9,0,0,0,18,0,1,12,3,0,3,6,2,4,0,7,0,6,4,3,0
0,4,1,1,0,0,0,12,5,0,0,20,10,2,4,0,1,2,1,0,0,7,5,2,0,8,0,0,3,7,0,2,9,0,0,1,8,0,6,0,1,0,8,2,0,0
0,4,0,0,0,0,3,6,1,0,1,13,10,8,0,0,0,2,1,0,0,3,2,2,0,6,0,0,4,16,0,3,1,1,1,2,3,0,2,0,2,0,3,1,0,0
0,14,9,6,6,1,8,41,18,0,11,71,46,15,10,0,1,7,1,0,0,24,25,8,0,15,1,0,9,45,8,2,21,1,1,4,21,3,14,0,25,3,15,4,1,0
0,4,3,0,1,0,0,8,6,0,5,15,15,5,0,0,0,0,0,0,0,8,7,2,0,8,0,0,0,11,0,1,0,0,0,2,4,2,4,1,13,0,2,2,0,0
0,1,5,1,1,0,2,10,3,0,5,31,19,5,8,0,1,1,0,0,0,5,5,3,0,5,1,0,1,12,0,0,8,1,0,1,4,0,3,0,4,0,5,2,0,0
0,22,14,7,3,0,9,66,22,0,9,137,83,32,17,0,0,4,4,0,0,31,42,9,0,40,1,1,29,72,9,2,26,0,0,5,20,1,55,0,42,2,27,10,2,0
0,7,2,1,1,0,0,11,7,0,1,23,14,9,1,0,0,3,0,0,0,9,7,2,0,6,0,0,7,22,0,2,0,1,2,0,8,1,10,0,7,0,4,1,1,0
0,3,0,0,1,0,0,15,8,0,4,26,21,8,6,0,0,0,0,0,0,10,7,2,0,15,1,0,5,15,0,1,12,2,0,1,7,1,7,1,5,0,5,1,0,0
0,0,1,0,1,0,0,4,1,0,4,14,5,12,1,0,0,1,0,0,0,5,5,2,0,1,0,0,5,6,0,0,1,0,0,1,2,0,1,0,1,0,3,2,0,0
0,1,3,2,1,0,0,7,2,0,6,10,9,8,0,0,0,0,0,0,0,3,3,2,0,4,0,0,4,6,0,1,0,0,0,0,2,2,3,0,4,0,4,2,1,0
0,4,4,0,0,0,1,12,2,0,7,27,19,13,0,0,0,6,0,0,0,10,6,2,0,14,0,0,6,19,0,1,0,0,0,3,8,0,4,0,4,0,3,3,0,0
0,5,1,3,0,0,4,13,11,0,1,35,15,3,1,0,0,7,0,0,0,10,8,2,0,8,1,0,1,19,0,0,1,1,0,0,7,0,27,0,1,0,14,4,1,0
